gene_name	category
S100a8	immune
S100a9	immune
Lcn2	immune
Mpeg1	immune
Csf3r	immune
Adgre1	immune
Itgam	immune
Cd52	immune
Igsf6	immune
Ctla2a	immune
Ly6c1	immune
Rhoh	immune
Lyz1	immune
Tnfsf10	immune
Slc11a1	immune
C1qa	immune
C1qb	immune
C1qc	immune
Hif3a	immune
Tcim	immune
Top2a	proliferative
Myct1	proliferative
Mki67	proliferative
Clec14a	endothelial
Smagp	endothelial
Vwf	endothelial
Vim	endothelial
Pecam1	endothelial
Lrg1	endothelial
Edn1	endothelial
Pkn3	endothelial
Dbp	metabolic
Sgk1	metabolic
Smox	metabolic
Mfsd2a	metabolic
